,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
0,Strand Bookstore,4a8cc1d4f964a520130f20e3,40.73320178975766,-73.99096009548717,Bookstore,True,True
1,Barnes & Noble,43fe1ba4f964a520f82f1fe3,40.737033649973306,-73.9895368410022,Bookstore,True,True
2,Books of Wonder,4ab920a2f964a5201f7e20e3,40.739072763236834,-73.99323697510762,Bookstore,True,True
3,Three Lives & Company,4a7cbad7f964a5205fed1fe3,40.73442736120523,-74.00139223025236,Bookstore,True,True
4,Books Kinokuniya,49ef71e3f964a520b8681fe3,40.75410632900814,-73.98465293186112,Bookstore,False,True
5,192 BOOKS,49f7718df964a5209f6c1fe3,40.74667442897133,-74.00493080434343,Bookstore,False,True
6,McNally Jackson Books,49e63a33f964a52023641fe3,40.72337020893761,-73.99602055549622,Bookstore,True,True
7,Posman Books,4adf7446f964a520b57a21e3,40.74290586505522,-74.00676356614385,Bookstore,False,True
8,bookbook,4aad535ef964a520b45f20e3,40.731256854922606,-74.00317132472992,Bookstore,True,True
9,Printed Matter,4a71eca9f964a520dfd91fe3,40.750588592790436,-74.00576429000934,Bookstore,True,True
10,Dashwood Books,4aedd27bf964a5203bcf21e3,40.72634137836638,-73.9933591965583,Bookstore,True,True
11,Toby's Estate Coffee,525eeb3811d2c49bf03e23ec,40.740111,-73.990855,Coffee Shop,True,True
12,Cocktail Kingdom,4bfaa1a68d30d13ab8da0318,40.7438118929745,-73.99070315617705,Miscellaneous Shop,True,True
13,Bluestockings,3fd66200f964a520f2e31ee3,40.721466448876065,-73.9890866516691,Bookstore,True,True
14,Strand Bookstore at Club Monaco,5273dc14498e395f9ec60c4b,40.740105536343016,-73.99060417557735,Bookstore,True,True
15,Amazon Books,58f3dfc8588e362c50674a2f,40.748609916780424,-73.98547898902387,Bookstore,True,False
16,Bookmarc,4c813f86d8086dcb341a6b52,40.735791253137705,-74.00519773364061,Bookstore,True,False
17,Namaste Bookshop,4cfade2234c1a0932beb420e,40.73611636912546,-73.9938954506286,Bookstore,True,True
18,Forbidden Planet,3fd66200f964a52038e41ee3,40.733506236989996,-73.99105765689987,Comic Shop,True,True
19,Drama Book Shop,4b0337bdf964a520a14d22e3,40.755757716139556,-73.98979013018509,Bookstore,True,True
20,Rizzoli Bookstore,55aec2e5498e2645a0ae5095,40.743528,-73.989219,Bookstore,True,True
21,Mast Books,4bef3aadea570f477f1b8fd2,40.72466447942481,-73.98470063095739,Bookstore,True,False
22,WORD Brooklyn,4a24458bf964a5200b7e1fe3,40.72907186450759,-73.95748238034669,Bookstore,False,False
23,Barnes & Noble,4b0ff4a0f964a520b16623e3,40.755739,-73.978937,Bookstore,True,True
24,Casa Magazines,4b9edf34f964a520900737e3,40.73765852862972,-74.00449809064247,Newsstand,True,True
25,Old Print Shop,4b92801ff964a52091fe33e3,40.74365800164262,-73.98182992937303,Bookstore,False,True
26,Midtown Comics,40d38200f964a52041011fe3,40.754873039271956,-73.98802749104361,Comic Shop,True,True
27,Idlewild Books,57505b73498e8c3c313fb84e,40.73566429147177,-74.00171387282384,Bookstore,True,True
28,Alabaster Bookshop,3fd66200f964a520b4e41ee3,40.73304567219865,-73.99001669152354,Bookstore,True,True
29,Bonnie Slotnick Cookbooks,4a6e2d4ff964a52025d41fe3,40.7251147854322,-73.99075503043365,Bookstore,True,True
30,Koryo Books,49bed061f964a520e1541fe3,40.74793304360907,-73.98726722768912,Bookstore,True,True
31,Taschen,49e63a7ff964a52025641fe3,40.72458985306356,-73.9996876100457,Bookstore,True,True
32,Club Monaco,5265b58e498eee40f264c378,40.74023227344842,-73.99070122824347,Clothing Store,True,True
