,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
0,"Books, Inc.",4bc77b370050b71392c7b83b,37.78161387913699,-122.42053066602286,Bookstore,True,True
1,Aardvark Books,4a467a5df964a520eca81fe3,37.76713050230071,-122.42890641448354,Bookstore,True,True
2,Dog Eared Books,49e79762f964a520d0641fe3,37.758445500765696,-122.4213655574246,Bookstore,True,True
3,Dog Eared Books,574f605b498ee997a05fa2d7,37.76120618584941,-122.43495870530577,Bookstore,True,True
4,City Lights Bookstore,49bc2d06f964a5201d541fe3,37.7977083118737,-122.40648879043061,Bookstore,True,True
5,The Green Arcade,4a934850f964a520701f20e3,37.773161569484635,-122.42190302991519,Bookstore,False,True
6,Alexander Book Company,4ac29d66f964a520fe9920e3,37.78867102787043,-122.40062557442468,Bookstore,True,True
7,Browser Books,49f5ebdcf964a520d46b1fe3,37.78976574653574,-122.43411125580475,Bookstore,False,True
8,Borderlands Books,4aa32a35f964a520904320e3,37.759207483617786,-122.42151048490733,Bookstore,True,True
9,The Booksmith,42a78680f964a52017251fe3,37.76982126220134,-122.44936311785642,Bookstore,True,True
10,Charlie's Corner,56195ac6498e228012dfd22d,37.75135683384734,-122.43428103519672,Bookstore,True,False
11,Alley Cat Books,4ebade6e9911053f4e3a4de7,37.75264722692837,-122.41273750835785,Bookstore,True,True
12,Kayo Books,4bc75c6a14d79521c03b67e9,37.78748714508517,-122.415261728236,Used Bookstore,True,True
13,Comix Experience,49fd4ed0f964a5201a6f1fe3,37.77243285569474,-122.43735592709122,Comic Shop,False,True
14,Christopher's Books,4a3d5e50f964a5202da21fe3,37.76258473408882,-122.39660541203637,Bookstore,False,True
15,Green Apple Books,42717900f964a52076211fe3,37.78302094764066,-122.46461446474054,Bookstore,False,True
16,SF Center for the Book,4a2821d8f964a520f8941fe3,37.765349532269234,-122.40259616882284,Art Gallery,False,True
17,Omnivore Books on Food,4a0302d0f964a5207a711fe3,37.74769626662204,-122.4268247338954,Bookstore,False,True
18,Kinokuniya Bookstore,4a1babcbf964a520047b1fe3,37.784937664521735,-122.43167202047937,Bookstore,True,False
19,Manny’s,5bb90fcca35dce002c8e8181,37.76514534704623,-122.42186793983937,Coffee Shop,True,True
20,William Stout Architectural Books,4b1843cef964a520decf23e3,37.79659805209962,-122.4034649105084,Bookstore,True,True
21,Mechanics' Institute,49f786d5f964a520af6c1fe3,37.78898682712821,-122.40300310614425,Library,True,True
22,Books & Bookshelves,4b05f3a0f964a52070e622e3,37.76776385110286,-122.4309931267747,Furniture / Home Store,True,True
23,Adobe Books & Art Cooperative,51f5b314498e7ce07169b2d1,37.75251387116764,-122.41476161418653,Bookstore,True,True
24,needles and pens,543b0d19498e162399a2ab71,37.75418585366798,-122.42079923841392,Art Gallery,True,True
25,The Bindery,58435d3f561ded1024d0392d,37.76942151374742,-122.45129922972137,Bookstore,True,True
26,Green Apple Books & Le Video,42829c80f964a52021221fe3,37.765430715304,-122.46651956114654,Bookstore,True,True
27,Adobe Bookshop,4a73c166f964a52062dd1fe3,37.76493985121264,-122.42344448866608,Bookstore,True,True
28,Bird & Beckett Books,4ad389a0f964a520c9e420e3,37.73448180460381,-122.43298472129973,Bookstore,True,False
29,The Magazine,4cbf662e19ceb1f7ed2123cd,37.78642796884074,-122.41809811206784,Bookstore,True,True
30,Chronicle Books,49d805e1f964a520945d1fe3,37.78106550754665,-122.39115258380346,Bookstore,False,True
31,Books Inc,4a088baaf964a520e2731fe3,37.78632567063055,-122.45181233663317,Bookstore,False,True
32,JUICY NEWS SF,4afc7e57f964a520422322e3,37.79234653349657,-122.43453804515133,Newsstand,False,True
33,Book Passage,49cfd27df964a520d05a1fe3,37.79572380650475,-122.3934515336519,Bookstore,True,True
34,Books Inc.,4a6cee37f964a52018d21fe3,37.800243270181305,-122.44040697334252,Bookstore,False,True
35,Moleskine,55a2ece4498ebf3dc3d491a3,37.7885305776216,-122.40261036491435,Leather Goods Store,True,True
36,Noe Valley Branch Library,4a5f9527f964a520e2bf1fe3,37.75040415966416,-122.43514268896102,Library,True,False
37,Bound Together Anarchist Collective Bookstore,4aa308a3f964a520134320e3,37.77028033608465,-122.44483277996619,Bookstore,False,True
38,Russian Hill Bookstore,4adba1bcf964a5208e2921e3,37.79742154577791,-122.42204428590358,Bookstore,False,True
39,Fog City News,4ab2632bf964a5200a6b20e3,37.79111893421618,-122.3989809923987,Newsstand,True,True
40,Chronicle Books,4ab6a9f9f964a5207a7820e3,37.7838409985546,-122.40336147853009,Bookstore,True,True
41,Book Bay Fort Mason,4b9c0e13f964a520504536e3,37.80646506266367,-122.43127586118054,Bookstore,True,True
42,Park Life,458403fdf964a5208e3f1fe3,37.78308647266149,-122.46165835038073,Art Gallery,False,True
43,Folio Books,527fe24411d269e8cef13103,37.75160207595107,-122.43090160973678,Bookstore,True,True
44,Schein & Schein Antique Maps & Prints,4aff349bf964a520e23522e3,37.80013120458191,-122.4074762021272,Antique Shop,True,True
45,Eureka Valley/Harvey Milk Memorial Branch Library,4ae74a94f964a52019aa21e3,37.76421915934024,-122.43228017153746,Library,False,True
46,The Beat Museum,49ff1e32f964a520cd6f1fe3,37.797961525897485,-122.40619391283143,Museum,True,True
47,Go! Games,4b2d83cbf964a5202ed824e3,37.78436389753621,-122.40622861566216,Bookstore,True,True
48,Forest Books,50f74bc1e4b024e803baf823,37.786242692920126,-122.42996879868612,Bookstore,True,False
49,Marina Branch Library,4a552a75f964a520c3b31fe3,37.80123636230909,-122.43407783618086,Library,False,False
50,Crossroads Café,40f86c00f964a520c30a1fe3,37.782959,-122.389008,Café,False,True
51,Good Vibrations,4710bf01f964a520984b1fe3,37.76319458096596,-122.4217345739337,Adult Boutique,True,True
52,Bookshop West Portal,4a947010f964a5209b2120e3,37.74005509155272,-122.46680176469428,Bookstore,True,False
